2361,9595
9688,9711
7184,4591
9607,8246
1356,6926
9955,9213
3100,7239
4239,9860
8570,9670
371,7521
2724,3952
9978,2217
736,198
1244,9456
6646,6100
1712,2650
5804,1473
6076,2257
2626,9670
1248,3866
9962,2831
7226,1200
6698,8922
1665,9101
1683,3527
4660,7263
516,4046
7765,6670
7929,5384
3725,6790
5740,7931
7617,1127
7372,4282
2177,5385
9734,4208
9020,5810
6152,9379
501,467
3406,7973
8176,8694
7998,1326
9520,6032
3778,9694
9777,3891
1388,8135
863,3612
5625,4095
3362,9521
3834,6358
5664,530
6076,2241
9537,8897
4908,9664
2031,3224
981,8830
5978,9011
9787,2717
9306,6195
2451,2461
9725,9330
8698,1224
8983,2431
8351,9458
2598,3461
5100,9522
7585,2472
1853,2595
6825,6807
5701,1950
58,5737
871,5676
2431,6037
305,7016
5294,4881
1472,6882
9685,867
7581,5297
6754,3070
4219,4362
3791,5748
4454,271
9208,9174
8131,8882
24,9608
395,9786
684,3943
7034,6224
5348,9712
6420,525
2281,2478
8533,2772
8831,9439
1204,2755
2211,2480
7125,8603
3009,2139
1946,6827
934,9988
2510,4503
1690,7975
