6346,7411
9995,4970
2608,1589
8533,553
9107,2029
176,9723
4599,212
4760,4899
6776,593
4253,7941
8277,3985
2105,274
7623,7421
4339,8019
5989,5972
6350,7599
9755,1075
2567,5994
2469,5039
2060,5552
8489,9547
3967,5594
1573,592
671,3658
5592,9414
1654,1045
1074,1767
7416,3685
8849,4734
4657,7975
6200,3412
4964,512
2206,2668
4202,6383
2022,7053
9002,6840
1338,6249
1122,337
1306,8226
9765,8343
7621,7208
5645,6235
141,517
6626,1112
7514,4919
7150,9190
278,3055
7485,8077
252,5376
8513,8370
3130,9441
249,6159
6367,6302
464,4910
497,2749
4155,617
1310,3955
1848,7236
7187,7841
912,9149
2302,8793
84,5728
8887,1275
9292,7577
8462,7562
1899,8049
7264,2921
6147,7047
7284,2090
6100,1994
9760,8967
5199,3263
9758,4180
8019,3797
1201,52
2562,6392
5152,939
5348,1770
2023,8889
4562,6159
9423,3247
7815,7674
2159,3417
9930,2009
7270,6250
6838,7830
2243,80
8897,848
1634,1504
6465,3911
4568,9488
7174,5129
2842,5609
6484,64
3818,7107
4624,5187
7864,6391
784,9507
2516,4798
8166,4337
2965,1426
1876,8930
5071,6886
9269,6312
9268,584
743,5051
6879,6496
7059,3283
3802,1334
355,1285
1289,8381
865,3572
5275,9855
2572,2124
9747,5002
8530,990
7999,6459
8695,7967
124,4164
9348,6060
6191,9970
4897,4609
4820,5535
8027,3010
2660,841
3089,1426
501,639
5224,3548
4006,2605
6699,9930
2410,7909
1594,4700
9534,6800
9219,8629
6810,7365
7037,683
1641,9145
1001,8680
8940,9482
1704,1029
5195,6390
8958,8967
6022,4293
499,3672
6540,2103
5710,7434
2013,8899
1944,1974
5193,1526
4654,9608
858,3697
5970,307
5562,7427
6342,967
8203,7129
9180,805
6720,175
7958,7723
8854,9821
1892,7728
5763,2268
8178,2302
523,9710
1637,8995
6037,7543
7040,7962
9123,5191
9285,6266
2463,9908
948,3492
7607,4910
7838,1380
4062,9575
7745,9251
4564,1407
1998,6038
5592,8909
13,6736
9756,1048
8638,6147
9665,6543
83,7062
4793,6265
3063,9904
1076,1755
9449,3371
6301,4770
4628,3161
7492,915
1249,4088
665,4054
1514,7070
396,9167
4164,2185
9405,911
5238,2154
2456,8476
2439,8750
2289,8082
7538,8574
7725,4979
3845,4431
8751,7318
3857,5733
2252,3215
2724,4782
37,8826
1556,2800
8068,4979
8296,5892
3379,3614
6083,9049
4785,6173
6444,6995
4047,3376
953,7936
2946,9571
5941,9314
9814,1782
6610,2660
7016,3166
